cell_type,marker_gene,species,organ,tissue_class,tissue_type,cancer,database
Type I spiral ganglion neuron,0610030E20Rik,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Microglial cell,0610040J01Rik,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Olfactory ensheathing glia,0610040J01Rik,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,1110017D15Rik,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,1600002K03Rik,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,1700001K19Rik,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,1700006F04Rik,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,1700019D03Rik,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,1700023F06Rik,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,1700025G04Rik,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IA spiral ganglion neuron,1700025G04Rik,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,1700030K09Rik,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,1700066M21Rik,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Interneuron-selective cell,2010300C02Rik,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,2310040G24Rik,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,2410004B18Rik,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,2410131K14Rik,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IA spiral ganglion neuron,2510009E07Rik,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,2610001J05Rik,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,2900026A02Rik,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,3110021N24Rik,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Ependymal cell,3300002A11Rik,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,4930480K15Rik,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,4930506C21Rik,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,4931428F04Rik,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,5031439G07Rik,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Cajal-Retzius cell,5330417C22Rik,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Oligodendrocyte precursor cell,6030443J06Rik,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Neuron,6330403K07Rik,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IC spiral ganglion neuron,6330403K07Rik,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,6330409D20Rik,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,6430548M08Rik,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,9230102O04Rik,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,9430038I01Rik,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,9430091E24Rik,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,9530082P21Rik,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,A230056P14Rik,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
