cell_type,cell_name,marker_gene,species,tissue_class,tissue_type,source
Astrocyte,Astrocyte,Acsbg1,Mouse,Brain,Cortex,Experiment
Astrocyte,Astrocyte,Aldh1l1,Mouse,Brain,Cortex,Experiment
Astrocyte,Astrocyte,Anln,Mouse,Brain,Cortex,Experiment
Astrocyte,Astrocyte,Aqp4,Mouse,Brain,Cortex,Experiment
Astrocyte,Astrocyte,C4b,Mouse,Brain,Cortex,Experiment
Astrocyte,Astrocyte,Casp1,Mouse,Brain,Cortex,Experiment
Astrocyte,Astrocyte,Flnc,Mouse,Brain,Cortex,Experiment
Astrocyte,Astrocyte,Gfap,Mouse,Brain,Cortex,Experiment
Astrocyte,Astrocyte,Hes5,Mouse,Brain,Cortex,Experiment
Astrocyte,Astrocyte,Lyz2,Mouse,Brain,Cortex,Experiment
Astrocyte,Astrocyte,Mpeg1,Mouse,Brain,Cortex,Experiment
Astrocyte,Astrocyte,Neat1,Mouse,Brain,Cortex,Experiment
Astrocyte,Astrocyte,Pcdhb6,Mouse,Brain,Cortex,Experiment
Astrocyte,Astrocyte,Plin4,Mouse,Brain,Cortex,Experiment
Astrocyte,Astrocyte,Runx1,Mouse,Brain,Cortex,Experiment
Astrocyte,Astrocyte,Serpina3n,Mouse,Brain,Cortex,Experiment
Astroependymal cell,Astroependymal cell,AQP4,Mouse,Brain,Brain,Experiment
Basophil,Basophil,CPA3,Mouse,Brain,Brain,Experiment
Basophil,Basophil,MS4A2,Mouse,Brain,Brain,Experiment
Cajal-Retzius cell,Cajal-Retzius cell,5330417C22Rik,Mouse,Brain,Brain,Single-cell sequencing
Cajal-Retzius cell,Cajal-Retzius cell,Aatf,Mouse,Brain,Brain,Single-cell sequencing
Cajal-Retzius cell,Cajal-Retzius cell,Angpt1,Mouse,Brain,Brain,Single-cell sequencing
Cajal-Retzius cell,Cajal-Retzius cell,B3galt1,Mouse,Brain,Brain,Single-cell sequencing
Cajal-Retzius cell,Cajal-Retzius cell,Bbx,Mouse,Brain,Brain,Single-cell sequencing
Cajal-Retzius cell,Cajal-Retzius cell,Bin1,Mouse,Brain,Brain,Single-cell sequencing
Cajal-Retzius cell,Cajal-Retzius cell,Cacna2d1,Mouse,Brain,Brain,Single-cell sequencing
Cajal-Retzius cell,Cajal-Retzius cell,Cacna2d2,Mouse,Brain,Brain,Single-cell sequencing
