"Species","Tissue Class","Tissue Type","Cancer","Cell name","Cell marker","Source","Supports","Detail"
"Mouse","Brain","Cortex","Normal cell","Astrocyte","Acsbg1","Experiment","1","DETAIL"
"Mouse","Brain","Cortex","Normal cell","Astrocyte","Aldh1l1","Experiment","1","DETAIL"
"Mouse","Brain","Cortex","Normal cell","Astrocyte","Anln","Experiment","1","DETAIL"
"Mouse","Brain","Cortex","Normal cell","Astrocyte","Aqp4","Experiment","1","DETAIL"
"Mouse","Brain","Cortex","Normal cell","Astrocyte","C4b","Experiment","1","DETAIL"
"Mouse","Brain","Cortex","Normal cell","Astrocyte","Casp1","Experiment","1","DETAIL"
"Mouse","Brain","Cortex","Normal cell","Astrocyte","Flnc","Experiment","1","DETAIL"
"Mouse","Brain","Cortex","Normal cell","Astrocyte","Gfap","Experiment","2","DETAIL"
"Mouse","Brain","Cortex","Normal cell","Astrocyte","Hes5","Experiment","1","DETAIL"
"Mouse","Brain","Cortex","Normal cell","Astrocyte","Lyz2","Experiment","1","DETAIL"
"Mouse","Brain","Cortex","Normal cell","Astrocyte","Mpeg1","Experiment","1","DETAIL"
"Mouse","Brain","Cortex","Normal cell","Astrocyte","Neat1","Experiment","1","DETAIL"
"Mouse","Brain","Cortex","Normal cell","Astrocyte","Pcdhb6","Experiment","1","DETAIL"
"Mouse","Brain","Cortex","Normal cell","Astrocyte","Plin4","Experiment","1","DETAIL"
"Mouse","Brain","Cortex","Normal cell","Astrocyte","Runx1","Experiment","1","DETAIL"
"Mouse","Brain","Cortex","Normal cell","Astrocyte","Serpina3n","Experiment","1","DETAIL"
