spot	Activated neural stem cell	Astrocyte	Basket cell	Bergmann glial cell	CCK basket cell	Cajal-Retzius cell	Chandelier cell	Dorsal otocyst	Early intermediate precursor cell	Early neuroblast	Endothelial cell	Ependymal cell	Immature olfactory sensory neuron	Interneuron-selective cell	Late activated neural stem cell	Late neuroblast	Long-projecting GABAergic cell	Macrophage	Martinotti cell	Mature olfactory sensory neuron	Microglial cell	Mural cell	Neural stem cell	Neuroblast	Neuron	O cell	Olfactory ensheathing glia	Olfactory sensory neuron	Oligodendrocyte	Oligodendrocyte precursor cell	Precursor cell	Progenitor cell	Quiescent neural stem cell	Smooth muscle cell	Type I spiral ganglion neuron	Type IA spiral ganglion neuron	Type IB spiral ganglion neuron	Type IC spiral ganglion neuron	Type II spiral ganglion neuron	Ventral otocyst
50x102	0.0050353673	0.010929469	0.008067886	0.0067315726	0.0043621007	0.04542955	0.032914706	0.009009953	0.0059116473	0.027378842	0.005310081	0.013251657	0.015324805	0.01885422	0.004163036	0.0046131155	0.0063167443	0.005639441	0.026083509	0.002581039	0.005986448	0.0032155586	0.029943723	0.017726604	0.1185833	0.004286277	0.0065371008	0.0031116784	0.005030836	0.05391473	0.006790839	0.40430537	0.010276161	0.0074223857	0.007051728	0.013303338	0.0030024168	0.017177386	0.016290631	0.00813465
3x43	0.008790656	0.028409598	0.008097652	0.008152479	0.011436548	0.016799137	0.015420495	0.0040598717	0.009097793	0.1820489	0.022152258	0.00949371	0.010193061	0.0077867378	0.0070682075	0.012223878	0.036363386	0.074184954	0.0112167075	0.012405315	0.024946265	0.00560388	0.10786668	0.1445373	0.02119936	0.006617416	0.00782949	0.01084484	0.008339387	0.009311087	0.0075688865	0.006901025	0.0693124	0.0071715345	0.0062253205	0.00830032	0.013803211	0.007151386	0.01595659	0.015112259
59x19	0.011268846	0.013872084	0.0006741042	0.009857667	0.004210043	0.0015936086	0.0011829972	0.002338558	0.006929232	0.0030579767	0.0023650955	0.02211301	0.0028106782	0.00082184083	0.0017789734	0.00090390816	0.0010110657	0.0024500177	0.0024460058	0.82449	0.0024544892	0.0017566077	0.0059757046	0.00065554184	0.0003857719	0.0058390875	0.0023265958	0.028448837	0.004200019	0.001820643	0.0017938847	0.0015845824	0.0086664865	0.00082427723	0.0010521754	0.0011020019	0.0013184174	0.0016634344	0.003966499	0.007989173
14x94	0.065431006	0.12453592	0.009478785	0.028432008	0.078608654	0.016231557	0.005595529	0.007746236	0.007645339	0.0057911673	0.036513522	0.01342434	0.0046768333	0.030133586	0.007839863	0.007899894	0.025316278	0.07174386	0.024853304	0.0058716787	0.03696128	0.0060703	0.008149967	0.009638583	0.046533678	0.005824372	0.005867734	0.06135667	0.0036881543	0.015692476	0.007568801	0.0064362157	0.08734457	0.05163313	0.007724161	0.0063682683	0.010648777	0.027954152	0.0075268503	0.009242501
42x28	0.0032601513	0.111909	0.0052953362	0.021558711	0.014329998	0.004741369	0.00718382	0.06653519	0.006999154	0.042378414	0.0077278595	0.0038222328	0.006828445	0.0053378143	0.052961607	0.012558069	0.025460355	0.0033278593	0.008774748	0.0055892398	0.0044429526	0.022274159	0.0046643172	0.0024619377	0.0041042482	0.024793498	0.06879694	0.112759106	0.017208984	0.0056908512	0.0075396094	0.004793331	0.089172386	0.028183294	0.03241365	0.020308033	0.10379545	0.012545429	0.010923556	0.006548902
52x42	0.013574995	0.01053125	0.19164763	0.004952417	0.01239378	0.0028921622	0.004293532	0.007132006	0.007930032	0.019506464	0.04949392	0.009602464	0.0048172073	0.0055511654	0.015239618	0.004878381	0.0025663206	0.0054323506	0.014724792	0.008223053	0.015355313	0.0095101325	0.0034979433	0.0067830416	0.0031814498	0.19012304	0.0049431827	0.008643215	0.1346371	0.090697184	0.0049667684	0.011071674	0.015844822	0.007274172	0.03512357	0.006045041	0.0076579074	0.004243168	0.0026745142	0.042343203
37x19	0.0076644896	0.005518242	0.010448314	0.0030837958	0.0023395398	0.015369742	0.0016362654	0.0917227	0.0028087103	0.004197115	0.15409073	0.0022351888	0.22712468	0.020042287	0.0045994897	0.13904762	0.023638196	0.0019364204	0.0024883368	0.0012494996	0.0024579226	0.013268155	0.0028163253	0.009734557	0.0033807894	0.0046893745	0.010123127	0.007616522	0.006159098	0.008349923	0.005041815	0.005368942	0.0029764427	0.0066140224	0.020567365	0.0050179344	0.08595554	0.030418374	0.039282728	0.008919743
6x64	0.0045308056	0.0030925637	0.0026461245	0.0025530872	0.018227968	0.002640701	0.029553046	0.12161904	0.1079459	0.027341746	0.0016137493	0.007271505	0.002741139	0.063761935	0.0045968285	0.0059430134	0.007032443	0.0029014016	0.25182033	0.0028169071	0.0030932259	0.0037348806	0.007594089	0.033308048	0.038455732	0.0034651721	0.0018618761	0.0042835753	0.002588421	0.0018900596	0.10104712	0.007239713	0.0070369495	0.0012522764	0.028014585	0.007780794	0.04692772	0.015431066	0.012129616	0.0022148576
35x79	0.1650054	0.018462932	0.0075129285	0.0042842366	0.009472088	0.0082050795	0.010066246	0.005393483	0.010028424	0.0065522366	0.010646124	0.017320508	0.014450761	0.013880967	0.065325364	0.0075556254	0.009775025	0.022983296	0.017442334	0.0033468665	0.073389165	0.0049499306	0.017261082	0.01087816	0.008475836	0.12915163	0.02024676	0.047084425	0.09354493	0.037800606	0.005820966	0.012795477	0.01951477	0.009996365	0.0058836658	0.011007784	0.031671617	0.0043683876	0.01976811	0.008680456
67x59	0.05096536	0.0654374	0.020328185	0.027391171	0.022722388	0.01384793	0.0060062106	0.03136293	0.056816548	0.015997287	0.08821753	0.011589915	0.0101831425	0.00737151	0.005406175	0.018930767	0.013747193	0.07956478	0.010468019	0.003913743	0.016955098	0.048575096	0.04607496	0.019572372	0.004465223	0.0039052996	0.03987612	0.0052727433	0.004180398	0.0033301648	0.0048914403	0.0052070045	0.103605606	0.08216899	0.005144785	0.0041886056	0.015903587	0.003233656	0.013179102	0.010001685
66x70	0.02013457	0.027030215	0.008021068	0.021623893	0.005196468	0.0037225503	0.003706918	0.020736458	0.008093308	0.07982102	0.009664135	0.035179716	0.028783545	0.0053440947	0.05916844	0.013818617	0.008321824	0.016933387	0.022432836	0.010530752	0.012743879	0.0068566636	0.11590342	0.05177907	0.038509436	0.008773175	0.03894871	0.041571666	0.0075710732	0.0060608094	0.00763526	0.0035974213	0.199958	0.005801959	0.002530441	0.009335363	0.0122074885	0.009646885	0.0071191257	0.005186377
45x67	0.085235834	0.016279511	0.005868293	0.02466393	0.010312456	0.0072781863	0.0058537577	0.022058265	0.011463727	0.016795242	0.04915632	0.02046327	0.012494811	0.0071066916	0.009907113	0.009051997	0.009630316	0.019320589	0.030450402	0.004340198	0.033142485	0.011107928	0.055194672	0.012914579	0.0028037727	0.07979187	0.05788731	0.02517089	0.09363245	0.03837582	0.011769841	0.096958145	0.026007155	0.016117638	0.005389851	0.008144258	0.015596044	0.0028279074	0.01582495	0.013611458
45x19	0.0062805773	0.046015445	0.005483568	0.009042576	0.005701299	0.014039372	0.009170265	0.11300774	0.0069007776	0.01311683	0.0040799524	0.0031225884	0.17385451	0.00774511	0.035117615	0.02579107	0.008401049	0.0037602044	0.07738491	0.0065563153	0.004754194	0.0076023443	0.03739371	0.00560241	0.007866123	0.059851296	0.01965607	0.029289935	0.029452318	0.061429676	0.004685223	0.00969194	0.0108651975	0.0044809515	0.015442221	0.011699932	0.025890596	0.03907178	0.022196159	0.01850623
10x48	0.048527006	0.004253039	0.1009915	0.007588432	0.07913195	0.072987415	0.010440188	0.0046723117	0.005150664	0.0054321536	0.028007356	0.009958633	0.15364452	0.007083942	0.0046006762	0.014165584	0.08461357	0.0031985978	0.006727327	0.022044469	0.009303107	0.014372538	0.0024207074	0.010739596	0.11389177	0.009396269	0.002199231	0.010682052	0.007573508	0.0020899537	0.009036592	0.006494541	0.0040687583	0.004761432	0.07884411	0.013229742	0.005198361	0.016192144	0.0025826504	0.0037036494
66x22	0.004032527	0.003816529	0.010948778	0.0025842022	0.005232359	0.010169121	0.011577944	0.0063701337	0.26813	0.01985284	0.0033659784	0.012005607	0.14400406	0.0065485216	0.07903536	0.13906048	0.044252653	0.0021207086	0.0072281356	0.020575672	0.002136228	0.010275155	0.011661813	0.009338888	0.022392526	0.0049546883	0.007558472	0.006116798	0.0027235735	0.003307323	0.005220522	0.015784515	0.0026579774	0.0016433788	0.0072078574	0.003929276	0.0043109595	0.021108076	0.04910404	0.007656377
62x54	0.0037769284	0.0030445834	0.0050388905	0.0012475561	0.005845572	0.0018618461	0.0016019135	0.0082483245	0.007968401	0.0024338893	0.008774193	0.0020574764	0.008737636	0.0010268093	0.019356066	0.0015098092	0.0050665857	0.0026235776	0.003911751	0.80889297	0.001961841	0.0061343145	0.0020514615	0.0015635566	0.007771373	0.001272131	0.0010614354	0.017918438	0.0012793578	0.0015129131	0.001332132	0.0024205262	0.0050685164	0.0034509883	0.0022441794	0.0017547666	0.0038866277	0.006557087	0.019072605	0.008661053
