"Species","Tissue Class","Tissue Type","Cancer","Cell name","Cell marker","Source","Supports","Detail"
"Mouse","Brain","Brain","Normal cell","O cell","Aspa","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","O cell","Cldn11","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","O cell","Gal3st1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","O cell","Kcna1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","O cell","Kcna6","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","O cell","Mag","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","O cell","Mobp","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","O cell","Mog","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","O cell","Olig1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","O cell","Sox10","Single-cell sequencing","1","DETAIL"
